0 0 10,10,5,5
0 0 10,10,5,5
1 0 11,10,6,5
0 1 10,11,5,6
2 0 12,10,7,5
0 2 10,12,5,7
3 0 13,10,8,5
0 3 10,13,5,8
4 0 14,10,9,5
0 4 10,14,5,9
5 0 15,10,10,5
0 5 10,15,5,10
6 0 16,10,11,5
0 6 10,16,5,11
7 0 17,10,12,5
0 7 10,17,5,12
8 0 18,10,13,5
0 8 10,18,5,13
9 0 19,10,14,5
0 9 10,19,5,14
10 0 20,10,15,5
0 10 10,20,5,15
11 0 21,10,16,5
0 11 10,21,5,16
12 0 22,10,17,5
0 12 10,22,5,17
13 0 23,10,18,5
0 13 10,23,5,18
14 0 24,10,19,5
0 14 10,24,5,19
15 0 25,10,20,5
0 15 10,25,5,20
16 0 26,10,21,5
0 16 10,26,5,21
17 0 27,10,22,5
0 17 10,27,5,22
18 0 28,10,23,5
0 18 10,28,5,23
19 0 29,10,24,5
0 19 10,29,5,24
20 0 30,10,25,5
0 20 10,30,5,25
21 0 31,10,26,5
0 21 10,31,5,26
22 0 32,10,27,5
0 22 10,32,5,27
23 0 33,10,28,5
0 23 10,33,5,28
24 0 34,10,29,5
0 24 10,34,5,29
25 0 35,10,30,5
0 25 10,35,5,30
26 0 36,10,31,5
0 26 10,36,5,31
27 0 37,10,32,5
0 27 10,37,5,32
28 0 38,10,33,5
0 28 10,38,5,33
29 0 39,10,34,5
0 29 10,39,5,34
30 0 40,10,35,5
0 30 10,40,5,35
31 0 41,10,36,5
0 31 10,41,5,36
32 0 42,10,37,5
0 32 10,42,5,37
33 0 43,10,38,5
0 33 10,43,5,38
34 0 44,10,39,5
0 34 10,44,5,39
35 0 45,10,40,5
0 35 10,45,5,40
36 0 46,10,41,5
0 36 10,46,5,41
37 0 47,10,42,5
0 37 10,47,5,42
38 0 48,10,43,5
0 38 10,48,5,43
39 0 49,10,44,5
0 39 10,49,5,44
40 0 50,10,45,5
0 40 10,50,5,45
41 0 51,10,46,5
0 41 10,51,5,46
42 0 52,10,47,5
0 42 10,52,5,47
43 0 53,10,48,5
0 43 10,53,5,48
44 0 54,10,49,5
0 44 10,54,5,49
45 0 55,10,50,5
0 45 10,55,5,50
46 0 56,10,51,5
0 46 10,56,5,51
47 0 57,10,52,5
0 47 10,57,5,52
48 0 58,10,53,5
0 48 10,58,5,53
49 0 59,10,54,5
0 49 10,59,5,54
50 0 60,10,55,5
0 50 10,60,5,55
51 0 61,10,56,5
0 51 10,61,5,56
52 0 62,10,57,5
0 52 10,62,5,57
53 0 63,10,58,5
0 53 10,63,5,58
54 0 64,10,59,5
0 54 10,64,5,59
55 0 65,10,60,5
0 55 10,65,5,60
56 0 66,10,61,5
0 56 10,66,5,61
57 0 67,10,62,5
0 57 10,67,5,62
58 0 68,10,63,5
0 58 10,68,5,63
59 0 69,10,64,5
0 59 10,69,5,64
60 0 70,10,65,5
0 60 10,70,5,65
61 0 71,10,66,5
0 61 10,71,5,66
62 0 72,10,67,5
0 62 10,72,5,67
63 0 73,10,68,5
0 63 10,73,5,68
64 0 74,10,69,5
0 64 10,74,5,69
65 0 75,10,70,5
0 65 10,75,5,70
66 0 76,10,71,5
0 66 10,76,5,71
67 0 77,10,72,5
0 67 10,77,5,72
68 0 78,10,73,5
0 68 10,78,5,73
69 0 79,10,74,5
0 69 10,79,5,74
70 0 80,10,75,5
0 70 10,80,5,75
71 0 81,10,76,5
0 71 10,81,5,76
72 0 82,10,77,5
0 72 10,82,5,77
73 0 83,10,78,5
0 73 10,83,5,78
74 0 84,10,79,5
0 74 10,84,5,79
75 0 85,10,80,5
0 75 10,85,5,80
76 0 86,10,81,5
0 76 10,86,5,81
77 0 87,10,82,5
0 77 10,87,5,82
78 0 88,10,83,5
0 78 10,88,5,83
79 0 89,10,84,5
0 79 10,89,5,84
80 0 90,10,85,5
0 80 10,90,5,85
81 0 91,10,86,5
0 81 10,91,5,86
82 0 92,10,87,5
0 82 10,92,5,87
83 0 93,10,88,5
0 83 10,93,5,88
84 0 94,10,89,5
0 84 10,94,5,89
85 0 95,10,90,5
0 85 10,95,5,90
86 0 96,10,91,5
0 86 10,96,5,91
87 0 97,10,92,5
0 87 10,97,5,92
88 0 98,10,93,5
0 88 10,98,5,93
89 0 99,10,94,5
0 89 10,99,5,94
90 0 100,10,95,5
0 90 10,100,5,95
